helle ,Brightness
gehoben,Alta o alzada
hochwertig,de alta calidad
gewerblich,comercial o industrial
sonstiges,adicionales
aussagekraeftig,de valor informativo
endgueltig,definitivo o final
geeignet,adecuado
gepflegt,cuidado
beruehmt,clasico o celebre
Verkehrstechnisch,metodo de transporte
fusslaeufig,accesible a pie
benachteiligt,discriminado o desaventajado
sogennant,denominado o conocido como
bestaetigt,confirmado o certificado
gesetzlich,obligatorio
umstritten,controvertido
schaedlich,nocivo
mangelnd,insuficiente
uebermaessig,excesivo
ausgewogen,equilibrada
regelmaessig,regular o periodico
ehrgeizig,ambicioso
notwendig,necesario o urgente
abwechslungsreich,variado
fleissig,estudioso o trabajador
begabt,talentoso
einsam,solitario
gleichberechtigt,con los mismos derechos
ueberzeugt,convencido
bescheiden,humilde
eifersuechtig,celoso
niedrig,reducido
mutig,valiente
ruhig,calmado
leidenschaftlich,pasional
unvernuenftig,insensato
anziehend,encantador o agradable
gebildet,culto
deutlich,obvio o claro
erfuellt,completo
vorsichtig,seguro
gelehrte,sabio (estudio)
weise,sabio (experiencia)
maechtig,poderoso
ausserstande,incapaz (nicht_in_der_lage)
unfaehig,incompetente
einsichtig,comprensivo
zielstrebig,perseverante
verknallt,chiflado
hilfsbereit,servicial
vernachlaessigt,desaliniado
wuetend,cabreado
ruecksichtsvoll,considerado
ruecksichtslos,desconsiderado
weich,blando o suave
vorhanden,disponible
unweit,cerca de
ab,a partir de
von_entfernt,alejado de
engeren,mas estrecho
gegenueber,en frente de
einzeln ,solo o separado
innerhalb,en el interior de +gen
bereits,ya
zufolge,en vista de
bisher,hasta ahora o aqui
ausreichen,suficiente
eher,mas bien o mejor
wiederum,de nuevo
heutig,actual
zuletzt,por ultimo o finalmente
inzwischen,mientras tanto
umsonst,para nada o en vano
ebenso,asi mismo o igualmente
dagegen,en contra
dafuer,para ello
umgekehrt,al reves
insgesamt,en total
eben,justamente
frage_stellen,hacer una pregunta
entscheidung_treffen,tomar una decision
antrag_stellen,hacer una solicitud
in_aussicht_stellen,poner algo en el punto de mira
vorschlag_machen,hacer una presentacion
vorwurf_machen,hacer un reproche
von_abschied_nehmen,hacer la despedida de alguien
in_angriff_nehmen,tomarse algo como un ataque
zu_ende_bringen,llevar algo hasta el final
auf_ruecksicht_nehmen,tener algo en cuenta
auf_einfluss_nehmen,tener influencia de alguien
auf_bezug_nehmen,hacer referencia a algo
vorbereitungen_treffen,hacer los preparativos
verabredung_treffen,tener una cita
in_erwaegung_ziehen,pensar en esa posibilidad o considerarlo
diskussion_fuehren,dirigir una discusion
gespraech_fuehren,mantener una converscion
verhandlungen fuehren,llevar a cabo las negociaciones
unterstuetzung_bieten,ofrecer apoyo (economico)
protokoll_fuehren,realizar un protocolo
protest_erheben,apoyar una protesta
hilfe_leisten,prestar ayuda
rede_halten,mantener un discurso
welchen,que o cuales?
wer,quien?
wem,a quien o de quien? procedencia pertenencia
wen,a quien?
wessen,de quien? (con gen)
woher,de donde?
wohin,a donde?
womit,con que o con lo cual? depende del verbo
wofuer_wozu,para que? depende del verbo
woran_worauf,en que? depende del vergo
worueber_worum_wonach,de que? depende del verbo
wovon,de donde? depende del verbo
